timestamp,json_bytes,delta_bytes,compressed_bytes,delta_compressed_bytes
2026-05-03 15:23:51,31908,31908,9408,9408
2026-05-03 15:24:51,31905,5767,9408,1701
2026-05-03 15:25:51,31906,5332,9408,1575
2026-05-03 15:26:52,31461,4496,9408,1344
2026-05-03 15:27:52,31911,5132,9408,1512
2026-05-03 15:28:52,31461,4630,9408,1386
2026-05-03 15:29:52,31463,4354,9408,1302
2026-05-03 15:30:53,31913,5269,9408,1554
2026-05-03 15:31:53,31915,5480,9408,1617
2026-05-03 15:32:53,31913,5327,9408,1575
2026-05-03 15:33:54,31911,5061,9408,1491
2026-05-03 15:34:54,31910,5413,9408,1596
2026-05-03 15:35:54,31909,4634,9408,1365
2026-05-03 15:36:54,31912,5203,9408,1533
2026-05-03 15:37:55,31913,5554,9408,1638
2026-05-03 15:38:55,31915,5834,9408,1722
2026-05-03 15:39:55,31914,5904,9408,1743
2026-05-03 15:40:55,31917,6195,9408,1827
2026-05-03 15:41:56,31468,5678,9408,1701
2026-05-03 15:42:56,31913,4975,9408,1470
2026-05-03 15:43:56,31914,5764,9408,1701
2026-05-03 15:44:56,31912,5208,9408,1533
